['NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'DET', 'PRON']
['NOUN', 'ADJ', 'ADP', 'DET', 'PROPN']
['NOUN', 'ADJ', 'ADJ', 'PRON', 'PRON']
['NOUN', 'ADJ', 'AUX', 'AUX', 'VERB']
['NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADV']
['NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADP', 'DET', 'PROPN']
['NOUN', 'ADJ', 'ADP', 'DET', 'PROPN']
['NOUN', 'ADJ', 'ADJ', 'PUNCT', 'NOUN']
['NOUN', 'ADJ', 'PUNCT', 'VERB', 'ADJ']
['NOUN', 'ADJ', 'CCONJ', 'ADP', 'DET']
['NOUN', 'ADJ', 'PRON', 'VERB', 'CCONJ']
['NOUN', 'ADJ', 'ADP', 'DET', 'PROPN']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'DET']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'DET']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'DET']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'DET']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ']
['NOUN', 'ADJ', 'ADJ', 'PUNCT', 'ADJ']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'DET']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'DET']
['NOUN', 'ADJ', 'ADJ', 'CCONJ', 'ADJ']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN']
['NOUN', 'ADJ', 'CCONJ', 'ADP', 'NOUN']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'PUNCT', 'NUM', 'PUNCT']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN']
['NOUN', 'ADJ', 'CCONJ', 'VERB', 'DET']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'DET']
['NOUN', 'ADJ', 'CCONJ', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'PROPN']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ']
['NOUN', 'ADJ', 'CCONJ', 'ADV', 'ADP']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'PUNCT', 'ADV', 'SCONJ']
['NOUN', 'ADJ', 'ADP', 'AUX', 'VERB']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADV', 'ADJ', 'PUNCT']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'PUNCT', 'PRON', 'PRON']
['NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT']
['NOUN', 'ADJ', 'PUNCT', 'SCONJ', 'PUNCT']
['NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT']
['NOUN', 'ADJ', 'ADJ', 'PUNCT', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'CCONJ']
['NOUN', 'ADJ', 'VERB', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'PUNCT', 'ADP', 'SCONJ']
['NOUN', 'ADJ', 'CCONJ', 'PUNCT', 'ADP']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADP', 'DET', 'PRON']
['NOUN', 'ADJ', 'DET', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP']
['NOUN', 'ADJ', 'ADP', 'DET', 'PRON']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ']
['NOUN', 'ADJ', 'PRON', 'NOUN', 'CCONJ']
['NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB']
['NOUN', 'ADJ', 'ADP', 'DET', 'DET']
['NOUN', 'ADJ', 'ADJ', 'AUX', 'ADP']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN']
['NOUN', 'ADJ', 'ADP', 'DET', 'NOUN']
['NOUN', 'ADJ', 'ADJ', 'ADP', 'DET']
