['PROPN', 'PUNCT', 'ADP', 'DET', 'PROPN']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'DET', 'NOUN', 'ADP', 'VERB']
['PROPN', 'PROPN', 'PUNCT', 'VERB', 'ADP']
['PROPN', 'PUNCT', 'VERB', 'ADP', 'PROPN']
['PROPN', 'ADP', 'VERB', 'DET', 'NOUN']
['PROPN', 'ADP', 'PROPN', 'ADP', 'DET']
['PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']
['PROPN', 'PUNCT', 'ADJ', 'ADP', 'PROPN']
['PROPN', 'PROPN', 'PROPN', 'NUM', 'PUNCT']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'PRON', 'VERB']
['PROPN', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']
['PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'ADP']
['PROPN', 'PUNCT', 'ADP', 'DET', 'NOUN']
['PROPN', 'ADP', 'PROPN', 'CCONJ', 'PROPN']
['PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT']
['PROPN', 'PROPN', 'PUNCT', 'ADP', 'NOUN']
['PROPN', 'PUNCT', 'ADP', 'NOUN', 'ADP']
['PROPN', 'ADP', 'PROPN', 'CCONJ', 'ADJ']
['PROPN', 'CCONJ', 'ADJ', 'NOUN', 'ADP']
['PROPN', 'ADP', 'PROPN', 'ADP', 'DET']
['PROPN', 'ADP', 'DET', 'NOUN', 'ADP']
['PROPN', 'ADP', 'PROPN', 'ADP', 'DET']
['PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']
['PROPN', 'PUNCT', 'PRON', 'VERB', 'DET']
['PROPN', 'ADP', 'PROPN', 'ADP', 'DET']
['PROPN', 'ADP', 'DET', 'PROPN', 'PRON']
['PROPN', 'PRON', 'PRON', 'VERB', 'ADP']
['PROPN', 'PROPN', 'PROPN', 'NUM', 'PUNCT']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'ADP', 'PROPN', 'ADP', 'DET']
['PROPN', 'ADP', 'DET', 'PROPN', 'PUNCT']
['PROPN', 'PUNCT', 'NUM', 'PUNCT', 'DET']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PROPN', 'NUM', 'PUNCT', 'ADP']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'NUM', 'PUNCT', 'ADP', 'NUM']
['PROPN', 'PUNCT', 'DET', 'NUM', 'ADP']
['PROPN', 'PROPN', 'DET', 'PROPN', 'ADP']
